City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Coihaique,AU,2022-01-19 22:19:52,-33.65,115.3333,70.09,69,20,10.94
68,Coihaique,TO,2022-01-19 22:19:52,-21.2,-175.2,81.82,82,5,19.1
69,Coihaique,AR,2022-01-19 22:18:32,-54.8,-68.3,55.06,54,0,17.27
70,Coihaique,CV,2022-01-19 22:19:53,14.8961,-24.4956,73.42,77,38,7.92
71,Coihaique,BR,2022-01-19 22:19:53,-19.3911,-40.0722,75.74,85,48,4.79
72,Coihaique,JP,2022-01-19 22:19:54,26.5881,127.9761,59.16,65,1,8.46
73,Coihaique,AU,2022-01-19 22:19:54,-42.7826,147.0587,62.74,68,100,1.01
74,Coihaique,ZA,2022-01-19 22:19:54,-34.4187,19.2345,65.8,72,28,8.99
75,Coihaique,RU,2022-01-19 22:19:55,69.7008,170.3133,-37.98,97,38,4.47
76,Coihaique,ZA,2022-01-19 22:19:55,-34.0033,24.7314,62.89,78,6,5.19
77,Coihaique,NZ,2022-01-19 22:19:56,-46.1333,167.6833,52.83,79,100,12.82
78,Coihaique,RU,2022-01-19 22:19:56,45.4375,40.5756,23.05,97,92,6.44
79,Coihaique,US,2022-01-19 22:19:57,41.7057,-70.2286,46.18,83,0,17.0
80,Coihaique,ET,2022-01-19 22:19:57,5.8833,38.9833,59.45,57,100,2.73
81,Coihaique,MX,2022-01-19 22:19:13,20.5083,-86.9458,77.95,78,75,3.0
82,Coihaique,NZ,2022-01-19 22:19:57,-46.2817,169.8464,55.92,69,98,12.06
83,Coihaique,MU,2022-01-19 22:19:58,-20.4081,57.7,80.26,89,40,6.91
84,Coihaique,PG,2022-01-19 22:19:58,-2.6741,141.3028,78.17,87,100,7.83
85,Coihaique,PH,2022-01-19 22:19:59,6.3711,126.1689,80.19,79,100,11.54
86,Coihaique,CO,2022-01-19 22:19:59,4.7478,-72.5369,94.14,30,96,8.28
87,Coihaique,GL,2022-01-19 22:19:59,65.6145,-37.6368,30.36,93,100,10.09
88,Coihaique,MR,2022-01-19 22:20:00,18.0858,-15.9785,73.33,31,50,7.16
89,Coihaique,CA,2022-01-19 22:19:27,62.456,-114.3525,-11.58,86,40,13.8
90,Coihaique,CA,2022-01-19 22:20:52,55.7435,-97.8558,-12.84,70,0,8.05
91,Coihaique,ZA,2022-01-19 22:21:01,-33.918,25.5701,66.49,88,0,5.75
92,Coihaique,ZA,2022-01-19 22:16:36,-33.0153,27.9116,71.53,77,16,12.71
93,Coihaique,CN,2022-01-19 22:21:01,26.5833,106.7167,48.69,81,100,8.95
94,Coihaique,ZA,2022-01-19 22:21:01,-33.9258,18.4232,65.26,77,0,1.99
95,Coihaique,CN,2022-01-19 22:21:02,30.9866,103.9393,46.87,65,100,1.5
96,Coihaique,JP,2022-01-19 22:21:02,34.9833,139.8667,35.62,65,48,9.06
97,Coihaique,PG,2022-01-19 22:21:02,-6.2167,149.55,77.83,87,100,2.39
98,Coihaique,CR,2022-01-19 22:21:03,9.8383,-83.8656,76.06,64,38,6.42
99,Coihaique,NA,2022-01-19 22:21:03,-26.6481,15.1594,72.9,69,60,9.48
100,Coihaique,BR,2022-01-19 22:21:03,-24.7911,-50.0119,70.09,85,38,2.59
101,Coihaique,CA,2022-01-19 22:21:04,48.3835,-77.2328,7.02,94,100,9.8
102,Coihaique,JP,2022-01-19 22:21:04,43.3236,145.575,23.18,70,43,14.76
103,Coihaique,AU,2022-01-19 22:19:52,-17.0,145.4333,80.47,81,72,1.5
104,Coihaique,PT,2022-01-19 22:21:05,37.7167,-25.4333,61.21,85,89,23.91
105,Coihaique,MU,2022-01-19 22:21:05,-20.3428,57.7575,80.22,89,40,6.91
106,Coihaique,VU,2022-01-19 22:21:05,-16.0999,167.4164,83.95,73,80,3.74
107,Coihaique,CO,2022-01-19 22:21:05,4.488,-73.8975,72.36,84,98,5.19
108,Coihaique,ES,2022-01-19 22:21:06,27.9117,-15.5407,61.77,42,0,4.61
109,Coihaique,US,2022-01-19 22:16:46,41.1415,-73.3579,46.26,69,0,1.01
110,Coihaique,RU,2022-01-19 22:18:36,66.4167,112.4,-2.56,76,98,8.41
111,Coihaique,NZ,2022-01-19 22:21:06,-41.4122,175.5153,57.45,91,100,11.48
112,Coihaique,IN,2022-01-19 22:21:07,31.7167,76.9167,46.29,81,99,1.99
113,Coihaique,PF,2022-01-19 22:21:07,-16.4833,-151.75,80.69,76,100,23.29
114,Coihaique,NO,2022-01-19 22:21:07,65.5333,13.4063,31.46,91,98,17.4
115,Coihaique,MM,2022-01-19 22:21:08,22.9333,97.75,47.84,98,1,2.1
116,Coihaique,US,2022-01-19 22:21:08,34.6182,-79.0086,59.38,58,16,6.76
117,Coihaique,GB,2022-01-19 22:21:08,57.4667,-1.7833,38.39,69,79,30.27
118,Coihaique,PT,2022-01-19 22:21:09,38.5167,-28.7,62.82,82,34,18.97
119,Coihaique,US,2022-01-19 22:21:09,39.1834,-84.5333,47.64,61,40,8.05
120,Coihaique,US,2022-01-19 22:18:29,57.79,-152.4072,36.91,81,100,11.5
121,Coihaique,BR,2022-01-19 22:21:02,-9.8756,-56.0861,75.36,90,90,3.0
122,Coihaique,US,2022-01-19 22:21:09,71.2906,-156.7887,-20.18,76,40,5.75
123,Coihaique,RU,2022-01-19 22:21:10,61.95,159.2333,-0.15,64,1,9.01
124,Coihaique,US,2022-01-19 22:21:10,42.2506,-75.833,42.66,68,0,3.0
125,Coihaique,MX,2022-01-19 22:20:56,22.8909,-109.9124,83.61,50,75,3.0
126,Coihaique,AL,2022-01-19 22:21:10,40.3378,20.6789,28.45,57,0,2.77
127,Coihaique,PH,2022-01-19 22:21:11,5.5,120.8833,79.84,81,99,3.51
128,Coihaique,MV,2022-01-19 22:21:11,-0.6,73.0833,81.01,76,90,9.19
129,Coihaique,RU,2022-01-19 22:21:11,73.5069,80.5464,-20.11,99,69,7.52
130,Coihaique,NC,2022-01-19 22:21:12,-22.2763,166.4572,85.98,99,39,11.81
131,Coihaique,JP,2022-01-19 22:21:12,24.8,125.2833,64.26,67,75,13.8
132,Coihaique,AU,2022-01-19 22:21:12,-24.8667,113.6333,75.27,94,8,8.05
133,Coihaique,MZ,2022-01-19 22:21:13,-25.9653,32.5892,77.23,78,75,1.01
134,Coihaique,JP,2022-01-19 22:21:13,37.4833,141.0,27.14,69,75,2.59
135,Coihaique,RU,2022-01-19 22:21:13,55.2706,31.515,30.31,95,100,10.63
136,Coihaique,AR,2022-01-19 22:17:53,-38.0023,-57.5575,72.0,83,75,15.01
137,Coihaique,BS,2022-01-19 22:22:14,26.5412,-77.0636,72.77,54,61,10.89
138,Coihaique,IN,2022-01-19 22:22:14,11.6667,92.75,76.17,78,5,4.61
139,Coihaique,UY,2022-01-19 22:22:14,-33.6971,-53.4616,77.79,81,30,8.28
140,Coihaique,JP,2022-01-19 22:22:15,32.1906,130.0228,46.17,63,98,25.26
141,Coihaique,RU,2022-01-19 22:22:15,71.6872,128.8694,1.35,73,100,21.63
142,Coihaique,GF,2022-01-19 22:22:16,5.6592,-53.7767,75.42,91,98,12.48
143,Coihaique,BR,2022-01-19 22:22:16,-15.6178,-46.4233,75.94,73,100,3.76
144,Coihaique,CA,2022-01-19 22:22:16,51.226,-58.6502,-3.98,78,19,13.42
145,Coihaique,RU,2022-01-19 22:22:17,64.3833,-173.3,-3.89,71,0,6.71
146,Coihaique,RU,2022-01-19 22:22:17,68.0531,39.5131,33.71,97,100,12.57
147,Coihaique,NE,2022-01-19 22:22:18,18.6853,12.9164,55.89,29,0,5.32
148,Coihaique,ES,2022-01-19 22:22:18,43.6702,-7.4101,45.97,80,2,5.01
149,Coihaique,AZ,2022-01-19 22:22:18,38.7726,48.4128,29.12,58,3,6.73
150,Coihaique,BW,2022-01-19 22:22:19,-19.6667,22.2667,73.56,66,50,4.21
151,Coihaique,RU,2022-01-19 22:22:19,59.7035,30.7861,37.87,91,100,10.89
152,Coihaique,NO,2022-01-19 22:22:19,70.6634,23.6821,32.45,69,20,28.77
