City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
79,Znin,52.8496,17.7199,34.34,84,73,15.39,PL,broken clouds
80,Kalabo,-14.97,22.6814,64.06,89,100,8.19,ZM,overcast clouds
81,Sibolga,1.7427,98.7792,81.63,74,99,1.3,ID,overcast clouds
82,Ribeira Grande,38.5167,-28.7,59.59,72,44,20.18,PT,scattered clouds
83,Ewa Beach,21.3156,-158.0072,76.95,65,40,8.05,US,scattered clouds
84,Yellowknife,62.456,-114.3525,-9.58,86,100,10.0,CA,overcast clouds
85,Saint-Philippe,-21.3585,55.7679,80.15,85,79,10.74,RE,light rain
86,Paralimni,35.0375,33.9833,50.09,86,100,1.99,CY,light rain
87,Svetlaya,46.5389,138.3297,16.09,52,16,4.63,RU,few clouds
88,Cape Town,-33.9258,18.4232,69.12,81,78,6.08,ZA,broken clouds
89,Lasa,46.6166,10.7002,32.36,42,58,4.16,IT,broken clouds
90,Kaitangata,-46.2817,169.8464,63.86,76,76,4.07,NZ,broken clouds
91,Grindavik,63.8424,-22.4338,27.07,80,75,19.57,IS,broken clouds
92,Swift Current,50.2834,-107.8014,26.98,80,100,7.76,CA,overcast clouds
93,Manacapuru,-3.2997,-60.6206,75.78,95,97,3.31,BR,overcast clouds
94,Sardarshahr,28.4333,74.4833,65.84,18,0,1.57,IN,clear sky
95,Arlit,18.7369,7.3853,56.34,17,3,10.58,NE,clear sky
96,Cagliari,39.245,9.0912,48.9,87,0,4.61,IT,clear sky
97,Longyearbyen,78.2186,15.6401,10.24,67,40,18.41,SJ,scattered clouds
98,Bereznik,62.8551,42.7072,5.47,96,100,5.57,RU,overcast clouds
99,Kony,47.6305,17.3572,39.36,72,38,12.68,HU,scattered clouds
100,San Isidro,-12.1167,-77.05,70.02,83,0,6.91,PE,clear sky
101,Gat,31.61,34.7642,47.39,100,97,6.35,IL,overcast clouds
102,Khatanga,71.9667,102.5,-7.1,99,98,7.49,RU,overcast clouds
103,Sarangani,5.4033,125.4636,82.24,74,100,14.38,PH,overcast clouds
104,Hay River,60.8156,-115.7999,-3.73,97,100,8.46,CA,overcast clouds
105,Nacogdoches,31.6002,-94.6335,52.79,64,0,0.0,US,clear sky
106,Brae,60.3964,-1.353,37.31,77,100,31.0,GB,overcast clouds
107,Pisco,-13.7,-76.2167,69.85,83,40,8.05,PE,scattered clouds
108,Makat,47.6469,53.3463,25.83,93,91,6.15,KZ,overcast clouds
109,Namibe,-15.1961,12.1522,69.82,77,92,4.5,AO,overcast clouds
110,Guerrero Negro,27.9769,-114.0611,60.12,69,60,10.65,MX,broken clouds
111,Cabo San Lucas,22.8909,-109.9124,70.61,75,84,3.44,MX,broken clouds
112,Mahebourg,-20.4081,57.7,82.26,89,75,12.66,MU,broken clouds
113,Sambava,-14.2667,50.1667,78.1,82,35,9.22,MG,scattered clouds
114,Victoria,22.2855,114.1577,60.33,72,97,1.99,HK,overcast clouds
115,Rudnichnyy,59.617,52.4703,-1.75,100,80,2.98,RU,broken clouds
116,Agua Dulce,18.1333,-94.1333,65.03,86,1,7.67,MX,clear sky
117,Antofagasta,-23.65,-70.4,63.68,83,56,3.44,CL,broken clouds
118,Ilulissat,69.2167,-51.1,-4.97,56,32,16.82,GL,scattered clouds
119,Acarau,-2.8856,-40.12,77.88,85,100,11.01,BR,overcast clouds
120,Yarada,17.65,83.2667,73.72,78,20,2.3,IN,mist
121,Talnakh,69.4865,88.3972,-15.12,92,85,9.35,RU,overcast clouds
122,San Patricio,28.017,-97.5169,64.49,77,100,10.98,US,overcast clouds
123,Kathmandu,27.7167,85.3167,50.22,71,20,2.3,NP,haze
124,Clyde River,70.4692,-68.5914,-33.61,99,91,3.2,CA,overcast clouds
125,Sitka,57.0531,-135.33,33.69,80,20,3.44,US,few clouds
126,Sunndalsora,62.6754,8.5515,29.05,83,99,10.31,NO,overcast clouds
127,Busselton,-33.65,115.3333,78.08,33,99,16.6,AU,overcast clouds
128,Comodoro Rivadavia,-45.8667,-67.5,60.66,27,0,18.41,AR,clear sky
129,Saskylakh,71.9167,114.0833,-24.48,100,93,2.86,RU,overcast clouds
130,Tiarei,-17.5333,-149.3333,82.42,75,83,13.29,PF,broken clouds
131,Camacha,33.0833,-16.3333,61.56,82,20,19.57,PT,few clouds
132,Santiago Del Estero,-27.7951,-64.2615,76.53,41,41,5.5,AR,scattered clouds
133,Buchanan,5.8808,-10.0467,77.94,87,4,1.23,LR,clear sky
134,Tougan,13.0667,-3.0667,67.87,14,7,9.22,BF,clear sky
135,Manta,-0.95,-80.7333,74.98,88,75,3.44,EC,broken clouds
136,Port Hedland,-20.3167,118.5667,100.45,39,100,10.36,AU,overcast clouds
137,Bandarbeyla,9.4942,50.8122,75.34,80,100,15.48,SO,overcast clouds
138,Pietarsaari,63.65,22.6833,19.89,93,32,10.63,FI,scattered clouds
139,Corozal,9.3151,-75.2928,72.57,78,33,3.29,CO,scattered clouds
140,Maragogi,-9.0122,-35.2225,77.68,79,42,6.2,BR,scattered clouds
141,Arraial Do Cabo,-22.9661,-42.0278,74.68,96,100,9.01,BR,light rain
142,Nelson Bay,-32.7167,152.15,86.29,69,52,3.0,AU,broken clouds
143,Mar Del Plata,-38.0023,-57.5575,62.87,65,100,20.0,AR,overcast clouds
144,Dikson,73.5069,80.5464,-4.63,94,100,22.28,RU,overcast clouds
145,Preobrazheniye,42.9019,133.9064,20.3,42,4,8.05,RU,clear sky
146,Bilma,18.6853,12.9164,50.58,22,1,14.23,NE,clear sky
147,Half Moon Bay,37.4636,-122.4286,53.53,87,75,0.0,US,broken clouds
148,Murmashi,68.8154,32.8115,7.21,92,75,0.0,RU,broken clouds
149,Sept-Iles,50.2001,-66.3821,3.72,60,75,6.91,CA,broken clouds
150,Taltal,-25.4,-70.4833,64.98,79,10,2.08,CL,clear sky
151,Mizdah,31.4451,12.9801,41.54,60,0,8.97,LY,clear sky
152,Fountain Hills,33.6117,-111.7174,61.57,35,0,1.01,US,clear sky
153,Kodiak,57.79,-152.4072,20.71,79,0,5.75,US,clear sky
154,Natal,-5.795,-35.2094,79.45,83,20,6.91,BR,few clouds
155,Severo-Kurilsk,50.6789,156.125,28.67,90,100,9.28,RU,light snow
156,Springdale,36.1867,-94.1288,42.31,58,0,3.0,US,clear sky
157,Kaeo,-35.1,173.7833,71.33,81,100,13.98,NZ,light rain
158,Ayaviri,-14.8864,-70.5889,45.23,88,95,4.85,PE,moderate rain
159,Bethel,41.3712,-73.414,21.04,68,0,0.0,US,clear sky
160,Rapid Valley,44.0625,-103.1463,41.14,44,0,1.99,US,clear sky
161,Mehamn,71.0357,27.8492,28.35,86,0,11.5,NO,snow
162,Nizhniy Odes,63.6445,54.856,-3.98,99,95,4.47,RU,overcast clouds
163,Ukiah,39.1502,-123.2078,53.65,70,0,4.61,US,clear sky
164,Geraldton,-28.7667,114.6,82.81,54,0,19.57,AU,clear sky
165,Grass Valley,39.2191,-121.0611,47.01,74,0,1.99,US,clear sky
166,Torbay,47.6666,-52.7314,35.58,82,100,24.16,CA,overcast clouds
167,Umm Lajj,25.0213,37.2685,62.26,59,100,6.35,SA,overcast clouds
168,Huron,41.1501,-82.5499,18.72,98,88,2.39,US,overcast clouds
169,Avarua,-21.2078,-159.775,77.05,83,20,6.91,CK,drizzle
